date,avgr,p90,p10
2011,74.63,78.82,71.51
2012,73.21,76.12,70.33
2013,72.13,75.15,69.57
2014,72.75,74.68,70.52
2015,72.16,74.69,69.69
2016,73.34,76.78,70.67
2017,72.1,73.95,69.15
2018,73.09,74.55,71.29
2019,73.32,77.12,69.79
2020,73.52,75.82,70.55
2021,73.96,76.63,70.65
2022,71.22,73.95,67.85
2023,71.55,74.41,67.66
2024,72.18,74.58,69.25
2025,72.4,74.58,68.75
2026,73.12,75.76,70.31
2027,72.44,74.73,69.71
2028,73.77,75.46,70.94
2029,72.64,74.44,70.27
2030,72.34,74.53,69.9
2031,73.21,76.31,69.01
2032,73.3,75.43,71.25
2033,73.04,76.25,69.13
2034,72.32,77.5,66.94
2035,71.99,74.76,69.14
2036,72.44,74.76,70.48
2037,73.53,75.46,71.74
2038,72.48,74.42,71.04
2039,73.01,76.27,68.89
2040,72.91,74.54,71.08